Code,Description,FirearmType
3585,.44-40 EXTRA LONG/.410 BORE,00
2741,.44-40 MARLIN,00
2742,.44-40 WIN(.44 WCF),00
274,.44-40 WIN(.44 WCF),00
1866,.44-75 BALLARD EVERLAS,00
2484,.440 AFRICAN,00
317,.440 AFRICAN / 16GA,00
3128,.440 MCFARLANE EXP,00
439,.442,00
3209,.442 WEBLEY,00
3562,.444 MARLIN,00
52,.444 MARLIN,00
1562,.444 MARLIN,00
179,.445 SUPER MAG,00
3471,.445 SUPER MAG,00
471,.445 SUPER MAG,00
2457,.45 (BLANK),00
2428,.45 (BLANK),00
2104,.45 (BLANK),00
2228,.45 ACP,00
1769,.45 ACP,00
511,.45 ACP,00
1850,.45 ACP,00
2284,.45 ACP (BLANK),00
3424,.45 ACP/.45 COLT / .410,00
2185,.45 ACP/.45 LONG COLT,00
2001,.45 BLASER,00
550,.45 COLT/.410 BORE,00
2505,.45 COLT/LONG COLT,00
2418,.45 COLT/LONG COLT,00
2573,.45 COLT/LONG COLT/.410,00
2506,.45 COLT/LONG COLT/.410,00
2037,.45 GAP,00
3305,.45 LC/.454 CASULL/.410BR,00
3233,.45 S&W,00
3100,.45 WEBLEY,00
1944,.45 WIN MAG,00
3111,.45- 70/90/120,00
1955,.45-100 BALLARD,00
1954,.45-100 REMINGTON,00
1845,.45-100 SHARPS,00
1939,.45-110 SHARPS,00
1953,.45-120 SHARPS,00
1956,.45-125 WCF,00
1982,.45-60 WIN,00
2713,.45-70 GOVERNMENT,00
2414,.45-70 GOVERNMENT,00
3090,.45-70 GOVERNMENT,00
3396,.45-70 GOVERNMENT/12GA,00
2712,.45-70 VAN CHOATE,00
1957,.45-70 VAN CHOATE,00
1696,.45-75 WCF,00
1621,.45-85-285,00
2089,.45-90 SHARPS,00
1668,.45-90 WCF,00
2122,.450 (BLANK),00
2176,.450 (BLANK),00
"3374,"".450 3 1/4"""" BP EXP"",00"
"3369,"".450 3 1/4"""" NE"",00"
1881,.450 ACKLEY MAG,00
2718,.450 ACKLEY MAGUM,00
3691,.450 ADAMS,00
2748,.450 ADAMS,00
2725,.450 ADAMS,00
2719,.450 ALASKAN,00
2720,.450 ASSEGAI,00
1926,.450 ASSEGAI,00
1823,.450 BLACK POWDER EXP,00
3577,.450 BUSHMASTER,00
3048,.450 BUSHMASTER,00
2722,.450 DAKOTA,00
2580,.450 ELEY,00
3601,.450 G&A SHORT MAG,00
1733,.450 MAJOOR,00
2747,.450 MARLIN,00
2723,.450 MARLIN,00
3062,.450 MARLIN,00
3258,.450 MART HENRY / 12GA,00
3342,.450 MARTINI HENRY,00
2721,.450 MASHBURN MAG,00
3049,.450 MONKEY TAIL,00
3102,.450 NE / 12GA,00
2159,.450 NITRO EXPRESS,00
3284,.450 NO 1 MUSKET,00
3120,.450 NO 2 MUSKET,00
3119,.450 NO 2 MUSKET / 12GA,00
3116,.450 NO 2 MUSKET / 16GA,00
3045,.450 NO2 NITRO EXPRESS,00
3167,.450 REVOLVER,00
1936,.450 RIGBY,00
2724,.450 RIGBY,00
3591,.450 RIGBY MATCH / 16GA,00
1690,.450 WATTS MAG,00
3033,.450 WEBLEY,00
904,.450/.455,00
294,.450/.577,00
"3357,"".450/400 3 1/4"""" BP EXP"",00"
"2763,"".450/400 3 1/4"""" MAG NE"",00"
2972,.450/400 BPE / 12GA,00
3180,.450/400 BPE / 28GA,00
"2762,"".450/400 MAG NE (3"""")"",00"
"2761,"".450/400 NIT (2 3/8"""" BP)"",00"
119,.451 DETONICS (MAGNUM),00
2064,.454 CASULL,00
411,.454 CASULL,00
2073,.454 CASULL,00
2111,.455 (BLANK),00
2746,.455 COLT,00
3094,.455 ELEY,00
3253,.455 ELEY,00
3021,.455 REVOLVER MK II,00
2745,.455 WEBLEY,00
3392,.455 WEBLEY  / 12GA,00
512,.455 WEBLEY AUTOMTIC,00
906,.455/.476,00
1796,.455/.577,00
2155,.458 AFRICAN EXPRESS,00
1990,.458 EXPRESS,00
"1967,"".458 EXPRESS 3"""""",00"
1968,.458 LOTT,00
2554,.458 SOCOM (11.63Ã40MM),00
2586,.458 SOCOM (11.63Ã40MM),00
2744,.458 SOCOM(11.63Ã40MM),00
3509,.458 WIN,00
280,.458 WIN MAG,00
2743,.458 WIN MAG,00
1977,.458 WIN MAG,00
3473,.458X1.5-INCH BARNES,00
3474,.458X1.5-INCH BARNES,00
2786,.460 A-SQUARE SHORT,00
2785,.460 ALLIANCE,00
2377,.460 BAUER,00
3602,.460 G&A,00
2212,.460 G&A MAG,00
2787,.460 G&A SPL,00
2452,.460 S&W MAG,00
2492,.460 STEYR,00
2231,.460 WEATHERBY MAG,00
2977,.461 GIBBS NO 1,00
2779,.465 H&H MAG,00
829,.465 H&H MAG / 16GA,00
3560,.470 AFRIKA,00
2767,.470 CAPSTICK,00
2292,.470 NIT EXP / 12GA,00
1751,.470 NITRO EXPRESS,00
2780,.475 A&M MAG,00
2781,.475 ACKLEY MAG,00
2782,.475 JDJ,00
2783,.475 LINEBAUGH,00
462,.475 LINEBURGH,00
2784,.475 NITRO EXPRESS,00
2160,.475 NO 2 JEFF NIT EXP,00
3376,.475 WILDEY MAGNUM,00
3664,.476 ENFIELD,00
413,.476 ENFIELD,00
709,.476 NE / 12GA,00
59,.476 NITRO EXPRESS,00
2002,.480 RUGER,00
2768,.480 RUGER,00
385,.483 / 12GA,00
785,.483 / 16GA,00
1717,.495 A-SQUARE,00
1707,.50 ACTION EXPRESS(AE),00
1815,.50 ACTION EXPRESS(AE),00
3400,.50 ALASKAN,00
1650,.50 BMG (12.7X99),00
3118,.50 BMG (12.7X99),00
1589,.50 BMG (12.7X99),00
2326,.50 BMG (RIFLE) BLANK,00
3580,.50 EXPRESS,00
2685,.50 GI,00
2479,.50 LAZ,00
3173,.50-110 WIN,00
1844,.50-140 SHARPS,00
3169,.50-70 MUSKET (.50 GOVT),00
2126,.50-90 SHARPS,00
2699,.500 A-SQUARE,00
3036,.500 ACCURATE RELOADING,00
2541,.500 EXP (BPE) / 12GA,00
3597,.500 EXP (BPE) / 16GA,00
3449,.500 EXP (BPE) / 20GA,00
2700,.500 EXPRESS (BPE),00
1787,.500 JEFFERY,00
2701,.500 LINEBAUGH,00
2070,.500 LINEBAUGH,00
3568,.500 MDM,00
1804,.500 NITRO,00
2093,.500 NITRO EXPRESS,00
3695,.500 NITRO EXPRESS (BLANK),00
3536,.500 S&W MAGNUM,00
2053,.500 S&W MAGNUM,00
2702,.500 WHISPER,00
3028,.500/.450 NO 2 MUS/12GA,00
3244,.500/.450 NO1/ 2 MUS/16GA,00
1818,.500/416 NITRO EXPRESS,00
2686,.500/450 MAG EXP (BPE),00
2161,.500/450 NITRO EXPRESS,00
2687,.500/450 NO 1 CARBINE,00
2688,.500/450 NO 1 EXPRESS,00
3306,.500/450 NO1 MUSKET,00
2689,.500/450 NO1/NO2 MUSKET,00
3234,.500/450 NO2 MUSKET,00
2008,.500/465 NITRO EXPRESS,00
2698,.505 BARNES SUPREME,00
2289,.505 GIBBS,00
2694,.510 KODIAK EXPRESS,00
2695,.510 NITRO EXPRESS,00
2696,.510 WELLS,00
2697,.510 WHISPER,00
110,.52-70 SHARP,00
382,.52-70 SHARP / 12GA,00
373,.52-70 SHARP / 16GA,00
3270,.539 IN (30BR) COMBUST,00
3222,.55 BOYS,00
2710,.55 MAYNARD,00
2711,.55-100 MAYNARD,00
2948,.550 EXPRESS,00
2274,.550 MAGNUM,00
2706,.56-46 SPENCER,00
2707,.56-50 SPENCER,00
2708,.56-52 SPENCER,00
2709,.56-56 SPENCER,00
2177,.577 (BLANK),00
1819,.577 BP EXP,00
2340,.577 NITRO EXPRESS,00
493,.577 REVOLVER,00
2599,.577 SNIDER,00
3201,.577 SNIDER / 12GA,00
3378,.577 SNIDER / 14GA,00
3279,.577 SNIDER / 16GA,00
2031,.577 TYRANNOSAUR (T-REX),00
3074,.577/450 M HENRY/12 GA,00
1931,.577/450 M HENRY/16GA,00
794,.577/450 M HENRY/20GA,00
1656,.577/450 MARTINI HENRY,00
1897,.577/500 BP EXPRESS,00
313,.577/500 NITRO EXPRESS,00
2600,.577/600 NIT EXP (REWA),00
2703,.58 CARBINE (BERDAN),00
2704,.58 MILLER,00
2705,.58 US MUSKET (BERDAN),00
2693,.585 GEHRINGER,00
2692,.585 NYATI,00
3002,.600 NITRO EXPRESS,00
529,.600 NITRO EXPRESS,00
560,.69 FLINTLOCK,00
1887,.700 NITRO EXPRESS,00
206,10 GA,00
3390,10.3 CAPRA,00
423,10.35MM ORDIN ITAL,00
2507,10.3X60R SWISS,00
2895,10.3X65R MM BAENZIGER,00
3397,10.3X68 MAG,00
2235,10.4MM (BLANK),00
418,10.4MM ITALIAN,00
157,10.4X38R MM SWISS VETT,00
2587,10.4X42R MM VETTERLI,00
2588,10.4X47R MM ITAL VETT,00
476,10.55MM,00
2896,10.57MM MAVERICK,00
2897,10.57MM METEOR,00
2898,10.5X38R MM,00
2899,10.5X47R MM,00
1760,10.5X47RMM / 16GA,00
3419,10.6MM GER ORDIN,00
2891,10.6MM GER ORDIN,00
2892,10.6MM MAUSER,00
2901,10.75X57 MM,00
2900,10.75X58R MM RUS BER,00
3607,10.75X58R MM RUS BER/16GA,00
2902,10.75X63 MM MAUSER,00
2903,10.75X65R MM COLLATH,00
3130,10.75X65R MM COLLATH/12GA,00
3579,10.75X65R MM COLLATH/16GA,00
1572,10.75X68MM MAUSER,00
3175,10.75X68MM MAUSER / 12GA,00
3219,10.75X68MM MAUSER / 16GA,00
2905,10.75X68R MM MAUSER,00
2904,10.75X73 MM,00
2906,10.7MMX57R,00
636,10.8X47R MM MAR / 16GA,00
88,10.8X47R MM MARTINI,00
363,10.8X47RMM MAR / 12GA,00
2907,10.9X40R A MS TARGET,00
2908,10.9X47R B MS TARGET,00
1825,10GA BLACK POWDER,00
2914,10MM A-TECK,00
536,10MM AUTO,00
426,10MM AUTO,00
3648,10MM AUTO,00
2912,10MM AUTO,00
2913,10MM MAG,00
2133,10X22 NON LETH PIST,00
2915,10X47R LORENZ MB TARG,00
1822,10X50R MM SAUER,00
222,11 GA,00
1641,11 GA,00
2917,11.15X52,00
2916,11.15X58R MM AUSTRIAN,00
1659,11.15X58R MM SPAN REM,00
3658,11.15X58R MM SPAN REM / 16GA,00
1698,11.15X60R MAUS / 12GA,00
2032,11.15X60R MAUS / 16GA,00
1599,11.15X60R MM MAUS,00
3286,11.15X65R STA EXP/12GA,00
3285,11.15X65R STA EXP/16GA,00
564,11.25 AUTO,00
1588,11.25X36R MM,00
2240,11.2X60MM SCHULER,00
2918,11.2X72 SCHULER,00
472,11.35MM SCHOUBOE,00
3722,11.3X36MM R,00
2922,11.43X41 PEABODY-MART,00
2923,11.43X49R ROM PEABODY,00
1694,11.43X50R,00
2924,11.43X55R TURKISH,00
2925,11.43X59R TURKISH MAUS,00
2919,11.4X50R MM AUS WERNDL,00
2920,11.4X50R MM BRAZ COMB,00
2921,11.4X51R MM DANISH REM,00
3153,11.5X50R WERDER,00
142,11.5X57R MM SPAN REFOR,00
732,11.5X57RMM SP REF/16GA,00
475,11.6MM,00
420,11.75R MM,00
3581,11.7X51R DANISH,00
2467,11MM (BLANK),00
2927,11MM BELGIAN ALBINI,00
2928,11MM BELGIAN COMBLIAN,00
2929,11MM FRENCH GRAS,00
2893,11MM FRENCH ORD,00
3453,11MM FRENCH ORD,00
2894,11MM GER SER,00
3462,11MM PINFIRE,00
2926,11MM VICKERS,00
1857,11X52R MM NET BEAUMONT,00
1860,11X59R MM,00
3267,11X60MM MAUSER,00
3478,11X60MM MAUSER / 16GA,00
3016,11X60R MM JAP MURATA,00
3198,11X65R COLLATH / C. 1,00
205,12 GA,00
2107,12 GA (BLANK),00
2020,12 GA HOWDAH,00
2451,12.7 MM (BLANK),00
2930,12.7MM BRITISH NO 2,00
2933,12.7X108MM,00
2931,12.7X70MM BARNES,00
2932,12.7X92MM,00
2456,12.7X99 (.50BMG),00
795,12GA / 10GA,00
767,12GA / 4GA,00
831,12GA / 6GA,00
1826,12GA BLACK POWDER,00
2027,12MM PINFIRE,00
449,12MM PINFIRE,00
234,13 GA,00
3160,13.2X92MM,00
1716,13.9X33.5R WANZL,00
230,13MM,00
3223,13X92MM,00
209,14 GA,00
2934,14.5MM JDJ,00
2935,14.5MM WAENZL,00
2936,14.5X33R MM AUS WANZL,00
2937,14.5X41R MM SPAN BER,00
176,14.66X35R MM SERB PEA,00
2938,14.7X58R MM SCHNEIDER,00
711,14GA / 12GA,00
800,14GA/52 COMBINATION,00
1638,15 GA,00
2940,15.24X40R MM KRNKA,00
2941,15.2X110R MM MITRAILLE,00
2939,15.2X28R MM,00
145,15.4MM,00
766,15.4MM / 16GA,00
687,15MM PINFIRE/16GA PINFIRE,00
204,16 GA,00
609,16GA / 10GA,00
357,16GA / 12GA,00
1827,16GA BLACK POWDER,00
217,17 GA,00
3534,17 HORN MAG RIM (HMR),00
1720,20 BR,00
203,20 GA,00
2493,209X50 MAG MUZZLE LOAD,00
381,20GA / 12GA,00
784,20GA / 14GA,00
389,20GA / 16GA,00
233,20MM,00
3686,22 ARC,00
208,24 GA,00
756,24GA / 12GA,00
219,25 GA,00
3661,25X47 LAPUA,00
1921,27MM LINE THROW PISTOL,00
202,28 GA,00
2151,28 GA,00
839,28GA / 16GA,00
163,3.45 RCL (88MM),00
3050,30 BORE TERRY'S PAT,00
3669,300 HAM'R,00
3548,300 SHERWOOD / 16GA,00
207,32 GA,00
2999,32-40,00
3000,32-40 / 12GA,00
3665,320 CF,00
3421,33XC,00
3653,35 LEVER POWER,00
3414,350 (9MM) GEZ,00
3524,375 WARNER,00
1652,37MM STOPPER,00
598,37MM STOPPER,00
2234,37MM STOPPER (BLANK),00
3422,37XC,00
286,38MM STOPPER,00
1922,38MM STOPPER,00
211,4 GA,00
513,4.25MM LILIPUT AUTO,00
2378,4.6X30MM,00
2957,4.6X30MM,00
3693,4.6X30MM (BLANK),00
3575,405 WIN,00
3599,40MM GRENADE LAUNCHER,00
1901,40MM STOPPER,00
3525,416 COLOSSUS,00
3523,416 WARNER,00
1735,44 MM FLASHBALL,00
3181,45-85 WIN,00
534,4MM FLOBERT,00
468,4MM FLOBERT,00
1657,5.45X18MM SOVIET,00
3335,5.45X39MM,00
1873,5.45X39MM,00
2354,5.45X39MM SOVIET,00
3498,5.56X36MM,00
3122,5.56X45MM,00
2471,5.56X45MM,00
1949,5.56X45MM,00
3261,5.56X45MM (BLANK),00
414,5.5MM,00
3165,5.6X35R MM,00
3224,5.6X35R MM,00
1646,5.6X35R MM VIERLING,00
3565,5.6X44R MM,00
3626,5.6X47 LAPUA,00
1555,5.6X50MM MAG,00
3684,5.6X50R MM MAG/.30 R BLASER,00
2690,5.6X50R MM MAGNUM,00
2189,5.6X52R MM (.22 SAV HP),00
1611,5.6X57MM,00
2691,5.6X57R MM,00
2566,5.7X28MM,00
3417,5.7X28MM,00
2259,5.7X28MM,00
3274,5.8X21MM,00
2293,50-95 WIN,00
3721,505/530 WOODLEIGH,00
1918,54 GA,00
565,58,00
3477,5MM BERGMANN,00
2026,5MM PIN-FIRE,00
2523,6 POUNDER,00
3690,6.17MM(.243) LAZZ SPITFIRE,00
2181,6.35MM (BLANK),00
2182,6.35MM BROW (BLANK),00
515,6.35MM BROWNING,00
428,6.35MM BROWNING,00
66,6.3X53R R/K FINNISH,00
771,6.3X53R R/K FINNISH / 12GA,00
2445,6.5 GREN (6.5X39),00
3381,6.5 PRC,00
3485,6.5 SHERMAN SHORT(6.5SS),00
3464,6.5 WIN SHORT MAG(WSM),00
3546,6.5-.270(257) WBY MAG,00
2230,6.5-.280 REM,00
2279,6.5-.284 NORMA,00
1880,6.5-06 A-SQUIRE,00
3067,6.5-06 ACKLEY IMP,00
2220,6.5-08,00
2226,6.5-08 A SQUIRE,00
1627,6.5-300 WBY MAG,00
2044,6.5/.284 WINCHESTER,00
3391,6.5/.303 ADVANCED,00
583,6.55MM,00
463,6.5MM,00
2164,6.5MM (BLANK),00
3043,6.5MM ASM,00
3420,6.5MM BERGMANN,00
3264,6.5MM BR(BENCHREST),00
3504,6.5MM CREEDMOOR,00
2436,6.5MM CREEDMOOR,00
3387,6.5MM CREEDMOOR,00
3040,6.5MM GAP 4S,00
2585,6.5MM GREN (6.5X39MM),00
2544,6.5MM GREND (6.5X39MM),00
3259,6.5MM IHMSA,00
3254,6.5MM JDJ,00
2681,6.5MM MANNLIC-CARCANO,00
2943,6.5MM REM MAG,00
2252,6.5MM REM MAG / 20GA,00
2550,6.5MM REM SAUM,00
3202,6.5MM SUPER LR,00
3561,6.5MM/06,00
3610,6.5SHER SHORT TACT(6.5SST),00
2415,6.5X47 LAPUA,00
1951,6.5X48R MM SAUER,00
1961,6.5X48R MM SAUER / 16GA,00
3316,6.5X50MM ARISAKA,00
1994,6.5X51MM ARISAKA,00
3070,6.5X52 ITALIAN,00
1676,6.5X52R,00
2221,6.5X53R MM MANNLICHER,00
2317,6.5X54 MANN-SCHOENAUER,00
1573,6.5X54MM MAUSER,00
2682,6.5X54R MM MANN-SCHOEN,00
3720,6.5X55MM ACKLEY IMP,00
1660,6.5X55MM SWED MAUS,00
1550,6.5X57MM MAUSER,00
3443,6.5X57RMM MAUSER,00
3300,6.5X57RMM MAUSER / 12GA,00
1678,6.5X57RMM MAUSER / 16GA,00
1556,6.5X58MM MAUSER,00
3015,6.5X58MM PORT(VER MAUS),00
1536,6.5X65R MM RWS,00
2079,6.5X68MM RWS,00
3188,6.5X68MM SCHULER,00
1644,6.5X68R MM RWS,00
1664,6.6X70R MM NIMROD,00
3660,6.8 WESTERN,00
2683,6.8MM REMINGTON SPC,00
2117,6.8MM SPC,00
2684,6.8X57MM CHIN MAUSER,00
2949,6.9X65R PRITZ,00
740,6.9X65R PRITZ / 12GA,00
699,6.9X65R PRITZ / 16GA,00
387,62/78 / 16GA,00
658,67/49 / 16GA,00
213,6MM,00
451,6MM,00
2516,6MM ACKLEY IMP,00
3527,6MM ARC,00
3636,6MM ARC,00
2319,6MM BR REM,00
3269,6MM BR(BENCHREST),00
2045,6MM BR(BENCHREST),00
3535,6MM BRA,00
3047,6MM CREEDMOOR,00
2490,6MM DASHER,00
3162,6MM FLOBERT,00
2973,6MM GAS,00
2975,6MM GAS,00
3454,6MM GT,00
2981,6MM MUSGRAVE,00
2248,6MM NORMA BR,00
3266,6MM PPC,00
2033,6MM PPC,00
2328,6MM REM,00
3490,6MM SHERMAN SHORT TAC(6MM SST),00
2433,6MM SUPER LR,00
2305,6MM XC,00
3446,6MM-.284,00
2513,6MM-.284,00
3583,6MM-06,00
2276,6MM-220 RUSSIAN,00
3606,6MM/22-250 AI,00
3148,6MM/250 WALKER,00
3304,6X.284WIN,00
1654,6X45MM,00
2371,6X47 LAPUA,00
2372,6X57MM MAUSER,00
2389,6X62R MM FRERES,00
3385,6XC TUBB,00
3680,7 SWC,00
1616,7-30 WATERS,00
1908,7-30 WATERS,00
3646,7-6.5 PRCW,00
3678,7.21MM (.284) LAZZERONI FIREBI,00
69,7.35MM ITALIAN CARCANO,00
3280,7.5 FK,00
541,7.55 BREV,00
2463,7.5MM (BLANK),00
70,7.5MM SCHMIDT-RUBIN,00
415,7.5MM SWEDISH / SWISS,00
3377,7.5MMX40R TESCHING/.410 BR,00
2658,7.5X43,00
2465,7.5X54MM (BLANK),00
1772,7.5X54MM FRENCH MAS,00
3445,7.5X54MM FRENCH MAS,00
3633,7.5X55MM SWISS,00
1613,7.5X55MM SWISS,00
2659,7.5X55R,00
2660,7.5X58,00
543,7.60MM,00
2198,7.62 LMG (BLANK),00
2622,7.62 MICRO-WHISPER,00
2187,7.62MM (BLANK),00
444,7.62MM NAG(7.62X38MMR),00
1798,7.62X17MM,00
2624,7.62X24MM,00
2625,7.62X24MM,00
1692,7.62X25MM,00
518,7.62X25MM,00
3336,7.62X25MM,00
2623,7.62X25MM,00
3415,7.62X25MM RUSSIAN TOKAREV,00
2958,7.62X25MM(BLANK),00
2394,7.62X25MM(BLANK),00
2101,7.62X25MM(BLANK),00
2626,7.62X33MM,00
3315,7.62X39MM,00
3115,7.62X39MM,00
2515,7.62X39MM,00
1767,7.62X39MM,00
3407,7.62X39MM (BLANK),00
2072,7.62X39MM (BLANK),00
2628,7.62X40MM,00
2627,7.62X40MM,00
2629,7.62X42MM,00
1567,7.62X45MM CZECH SHORT M52,00
2630,7.62X45MM CZECH SHORT M52,00
980,7.62X51MM,00
3019,7.62X51MM,00
1768,7.62X51MM,00
2130,7.62X51MM (BLANK),00
2197,7.62X53R (BLANK),00
3029,7.62X53R (RUSSIAN),00
1544,7.62X53R (RUSSIAN),00
1913,7.62X53R (RUSSIAN) / 12GA,00
3071,7.62X54R (BLANK),00
3290,7.62X54R (RUSSIAN),00
3231,7.62X54R (RUSSIAN),00
2432,7.62X54R (RUSSIAN),00
3238,7.62X65MM BR,00
2631,7.62X74R MEACHAM,00
2621,7.63 MINI-WHISPER,00
116,7.63 MM MAUSER,00
2312,7.63MM (BLANK),00
3087,7.63MM MANNLICHER,00
1706,7.63MM MANNLICHER,00
519,7.63X25MM MAUSER,00
429,7.65MM,00
3287,7.65MM,00
520,7.65MM,00
2186,7.65MM (BLANK),00
2464,7.65MM (BLANK),00
1705,7.65MM BORCHARDT,00
1703,7.65MM MASJIEN PISTOL,00
1872,7.65MM PAR (7.65X21MM),00
1704,7.65MM ROTH-SAUER,00
2632,7.65X20MM(FREN LONGUE),00
3314,7.65X32 MANN PISTOL CARB,00
1701,7.65X53MM ARGEN MAUSER,00
1778,7.65X54R,00
2633,7.65X61MM MARINE ARGEN,00
574,7.6MM,00
2661,7.6X60R,00
2952,7.7X54R,00
3637,7.7X54RMM/12 GA,00
1723,7.7X58MM ARISAKA (JAP),00
121,7.82 PATRIOT,00
2095,7.82 WARBIRD,00
3229,7.8X21MM (AIR CARTRIDGE),00
2662,7.8X45R RUBIN,00
2663,7.92MM CETME,00
75,7.92MM DS,00
3212,7.92X33 KURZ,00
1900,7.92X33 KURZ,00
3069,7.92X57MM MAUSER,00
3227,7.92X57MM MAUSER,00
1808,7.92X57MM MAUSER,00
2664,7.92X57R SCHWARZLOSE,00
2665,7.92X61 NORWEGIAN,00
2666,7.92X94,00
2232,7.9MM (BLANK),00
2950,7.9X57MM J,00
3405,7.9X57MM J (BLANK),00
2951,7.9X57MM JS,00
3220,7.9X57MM JS (BLANK),00
216,7MM,00
2634,7MM ACKLEY MAG,00
3059,7MM BENCHREST REM,00
2635,7MM BENCHREST REM,00
2422,7MM BLASER MAG,00
2636,7MM BSA AUTO (7X60MM),00
2637,7MM CANADIAN MAG,00
2638,7MM DAKOTA,00
2639,7MM ELEY EXP (7X63MM),00
3299,7MM EXPRESS REM,00
3712,7MM FLOBERT,00
2640,7MM GIBBS,00
2641,7MM ICL TORILLA,00
2642,7MM ICL WAPITI,00
3256,7MM IHMSA,00
3255,7MM IHMSA,00
3183,7MM INTERNAT RIMMED,00
2643,7MM INTERNAT RIMMED,00
2644,7MM JDJ,00
2645,7MM JDJ NO2,00
2646,7MM JRS,00
3147,7MM LONG RANGE MAG(7LRM),00
2612,7MM NAMBU,00
425,7MM PINFIRE,00
2647,7MM PPC,00
3472,7MM PRACTICAL,00
3588,7MM PRC,00
281,7MM REM MAG,00
3365,7MM REM MAG,00
1934,7MM REM ULTRA MAG,00
2188,7MM RIFLE (BLANK),00
2648,7MM RIGBY MAG,00
2649,7MM RIMFIRE SHOT,00
2023,7MM RSAUM,00
2997,7MM SHEHANE,00
3667,7MM SHERMAN MAX,00
3666,7MM SHERMAN MAX,00
